Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34.575503,69.240073
Antarctica,South Pole,-90,0
Argentina,Buenos Aires,-34.603684,-58.381559
Australia,Canberra,-35.282,149.128684
Bangladesh,Dhaka,23.810332,90.412518
Belgium,Brussels,50.85034,4.35171
Brazil,Brasília,-15.794229,-47.882166
Canada,Ottawa,45.42153,-75.697193
Chile,Santiago,-33.44889,-70.669265
China,Beijing,39.904211,116.407395
Colombia,Bogotá,4.710989,-74.072092
Costa Rica,San José,9.928069,-84.090725
Croatia,Zagreb ,45.815011,15.981919
Cuba,Havana,23.05407,-82.345189
Czech Republic,Prague,50.075538,14.4378
Denmark,Copenhagen,55.676097,12.568337
Egypt,Cairo,30.04442,31.235712
Ethiopia,Addis Ababa,8.980603,38.757761
Finland,Helsinki,60.173324,24.941025
France,Paris,48.856614,2.352222
Germany,Berlin,52.520007,13.404954
Ghana,Accra,5.603717,-0.186964
Greece,Athens,37.983917,23.72936
Greenland,Nuuk,64.18141,-51.694138
Honduras,Tegucigalpa,14.072275,-87.192136
Hong Kong,Hong Kong,22.396428,114.109497
Hungary,Budapest,47.497912,19.040235
Iceland,Reykjavík,64.126521,-21.817439
India,New Delhi,28.613939,77.209021
Indonesia,Jakarta,-6.208763,106.845599
Iran,Tehran,35.689198,51.388974
Iraq,Baghdad,33.312806,44.361488
Ireland,Dublin,53.349805,-6.26031
Israel,Tel Aviv,32.0853,34.781768
Italy,Rome,41.902784,12.496366
Jamaica,Kingston,18.042327,-76.802893
Japan,Tokyo,35.709026,139.731992
Jordan,Amman,31.956578,35.945695
Kazakhstan,Astana,51.160523,71.470356
Kenya,Nairobi,-1.292066,36.821946
Kuwait,Kuwait City,29.375859,47.977405
Kyrgyzstan,Bishkek,42.874621,74.569762
Lebanon,Beirut,33.888629,35.495479
Libya,Tripoli,32.887209,13.191338
Luxembourg,Luxembourg,49.611621,6.131935
Macau,Macau,22.166667,113.55
Macedonia (FYROM),Skopje,41.997346,21.427996
Madagascar,Antananarivo,-18.87919,47.507905
Malaysia,Kuala Lumpur,3.139003,101.686855
Maldives,Malé,4.175496,73.509347
Mauritius,Port Louis,-20.166896,57.502332
Mexico,Mexico City,19.432608,-99.133208
Monaco,Monaco,43.737411,7.420816
Morocco,Rabat,33.97159,-6.849813
Mozambique,Maputo,-25.891968,32.605135
Myanmar (Burma),Naypyidaw,19.763306,96.07851
Nepal,Kathmandu,27.717245,85.323961
Netherlands,Amsterdam,52.370216,4.895168
New Zealand,Wellington,-41.28646,174.776236
Nigeria,Abuja,9.076479,7.398574
North Korea,Pyongyang,39.039219,125.762524
Norway,Oslo,59.913869,10.752245
Oman,Muscat,23.58589,58.405923
Pakistan,Islamabad,33.729388,73.093146
Panama,Panama City,9.101179,-79.402864
Peru,Lima,-12.046374,-77.042793
Poland,Warsaw,52.229676,21.012229
Portugal,Lisbon,38.722252,-9.139337
Puerto Rico,San Juan,18.466334,-66.105722
Qatar,Doha,25.285447,51.53104
Romania,Bucharest,44.426767,26.102538
Russia,Moscow,55.755826,37.6173
Saudi Arabia,Riyadh,24.749403,46.902838
Senegal,Dakar,14.764504,-17.366029
Serbia,Belgrade,44.786568,20.448922
Seychelles,Victoria,-4.619143,55.451315
Singapore,Singapore,1.280095,103.850949
South Africa,Pretoria,-25.747868,28.229271
South Korea,Seoul,37.566535,126.977969
South Sudan,Juba,4.859363,31.57125
Spain,Madrid,40.416775,-3.70379
Sri Lanka,Sri Jayawardenepura Kotte,6.89407,79.902478
Sudan,Khartoum,15.500654,32.559899
Sweden,Stockholm,59.329323,18.068581
Switzerland,Bern,46.947974,7.447447
Taiwan,Taipei,25.032969,121.565418
Tanzania,Dodoma,-6.162959,35.751607
Thailand,Bangkok,13.756331,100.501765
Trinidad and Tobago,Port of Spain,10.654901,-61.501926
Turkey,Ankara,39.933364,32.859742
Uganda,Kampala,0.347596,32.58252
Ukraine,Kiev,50.4501,30.5234
United Arab Emirates,Abu Dhabi,24.299174,54.697277
United Kingdom,London,51.507351,-0.127758
United States,Washington,38.907192,-77.036871
Uruguay,Montevideo,-34.901113,-56.164531
Uzbekistan,Tashkent,41.299496,69.240073
Vatican City,Vatican City,41.902179,12.453601
Venezuela,Caracas,10.480594,-66.903606
Vietnam,Hanoi,21.027764,105.83416
Zambia,Lusaka,-15.387526,28.322817
Zimbabwe,Harare,-17.825166,31.03351
